manager_id,manager_name,team_name
2,Brenda,Hoop Hunnies
8,Marin,Ositos
6,Mel,Plum Dawg
5,Paolo,The Hot Hands
7,Janae,The Hoopers
4,Kim,Kim's Disruptors
3,Terah,Terah's Talented Team
1,Angel,Snapbacks and 3s
