game_id,player_id,1PT_MADE,2PT_MADE,FT_MADE,REB,AST,STL,BLK,TOV,PF,GAME_WINNER,DUNK
1,5,1,9,0,9,1,1,0,3,3,0,0
1,10,0,7,1,4,7,0,0,3,3,0,0
1,33,0,4,3,12,1,1,0,1,4,0,0
1,42,1,5,1,9,1,1,0,1,1,1,0
1,23,0,3,0,6,2,0,0,2,4,0,0
1,41,0,0,1,0,1,0,0,1,2,0,0
1,2,1,4,3,7,1,0,0,1,1,0,0
1,43,0,5,1,4,0,0,4,1,2,0,0
1,18,0,4,0,2,3,1,0,0,1,0,0
1,9,0,4,2,3,0,0,0,4,4,0,0
1,14,0,5,0,8,1,1,0,0,4,0,0
1,40,0,1,1,2,1,1,1,2,1,0,0
