manager_id,total_points,games_with_scores,avg_points_per_day,rank,last_updated
3,1608.8,56,28.73,1,2026-02-28 03:35:50.631628
5,1566.7,56,27.98,2,2026-02-28 03:35:50.631628
6,1564.5,56,27.94,3,2026-02-28 03:35:50.631628
8,1421.4,56,25.38,4,2026-02-28 03:35:50.631628
1,1413.2,56,25.24,5,2026-02-28 03:35:50.631628
2,1223.4,56,21.85,6,2026-02-28 03:35:50.631628
4,993.6,56,17.74,7,2026-02-28 03:35:50.631628
7,961.0,56,17.16,8,2026-02-28 03:35:50.631628
