timestamp,manager_id,game_date,transaction_type,active_players,active_player_ids
2026-01-13T00:59:20.631344,7,2026-01-13,lineup_change,"Rhyne Howard, Natisha Hiedeman, Lexie Hull","26, 10, 16"
2026-01-13T15:17:41.335142,4,2026-01-16,lineup_change,"Alyssa Thomas, Naz Hillmon, Sug Sutton","33, 36, 18"
2026-01-13T15:17:54.638074,4,2026-01-17,lineup_change,"Brittney Griner, Courtney Williams, Rebecca Allen","30, 25, 24"
2026-01-13T15:18:12.729661,4,2026-01-18,lineup_change,"Alyssa Thomas, Naz Hillmon, Sug Sutton","33, 36, 18"
2026-01-13T15:18:28.132858,4,2026-01-19,lineup_change,"Brittney Griner, Courtney Williams, Rebecca Allen","30, 25, 24"
2026-01-15T03:32:55.154132,1,2026-01-16,lineup_change,"Allisha Gray, Saniya Rivers, Shakira Austin","44, 11, 17"
2026-01-15T03:33:17.372503,1,2026-01-17,lineup_change,"Allisha Gray, Erica Wheeler, Cameron Brink","44, 28, 6"
2026-01-15T03:33:47.761067,1,2026-01-18,lineup_change,"Allisha Gray, Saniya Rivers, Shakira Austin","44, 11, 17"
2026-01-15T03:34:09.381060,1,2026-01-19,lineup_change,"Allisha Gray, Erica Wheeler, Cameron Brink","44, 28, 6"
2026-01-15T03:34:10.675072,1,2026-01-19,lineup_change,"Allisha Gray, Erica Wheeler, Cameron Brink","44, 28, 6"
2026-01-16T04:14:46.609814,5,2026-01-16,lineup_change,"Tiffany Hayes, Brittney Sykes, Dana Evans","50, 32, 40"
2026-01-16T04:15:15.148091,5,2026-01-17,lineup_change,"Paige Bueckers, Veronica Burton, Rae Burrell","1, 46, 29"
2026-01-16T04:15:20.142448,5,2026-01-17,lineup_change,"Paige Bueckers, Veronica Burton, Rae Burrell","1, 46, 29"
2026-01-16T04:15:41.404726,8,2026-01-16,lineup_change,"Sonia Citron, Azura Stevens, Maddy Siegrist","8, 15, 35"
2026-01-16T04:15:51.674932,8,2026-01-16,lineup_change,"Sonia Citron, Azura Stevens, Maddy Siegrist","8, 15, 35"
2026-01-16T04:16:03.384539,5,2026-01-19,lineup_change,"Paige Bueckers, Veronica Burton, Rae Burrell","1, 46, 29"
2026-01-16T04:16:47.736963,8,2026-01-17,lineup_change,"Dearica Hamby, Aaliyah Edwards, Maddy Siegrist","27, 22, 35"
2026-01-16T04:17:14.556479,8,2026-01-18,lineup_change,"Sonia Citron, Azura Stevens, Maddy Siegrist","8, 15, 35"
2026-01-16T04:17:54.161085,8,2026-01-19,lineup_change,"Dearica Hamby, Sonia Citron, Aaliyah Edwards","27, 8, 22"
2026-01-16T04:18:04.348547,5,2026-01-18,lineup_change,"Tiffany Hayes, Brittney Sykes, Dana Evans","50, 32, 40"
