player_id,round,fantasy_points
1,1,21.8
13,1,15.1
21,1,23.5
22,1,23.1
44,1,21.9
20,1,12.6
37,1,25.3
33,1,30.0
1,2,30.2
13,2,22.8
21,2,18.1
22,2,26.8
44,2,25.3
20,2,14.4
37,2,32.5
33,2,30.9
1,3,29.0
13,3,14.1
21,3,24.3
22,3,17.4
44,3,20.6
20,3,20.3
37,3,37.7
33,3,37.2
1,4,38.4
13,4,7.4
21,4,21.5
22,4,8.5
44,4,31.5
20,4,10.6
37,4,40.3
33,4,46.8
1,5,40.1
13,5,16.1
21,5,21.2
22,5,17.7
44,5,31.3
20,5,22.0
37,5,44.0
33,5,43.0
